path,class,risk,invariant,n_distinct,n_present,val_glider,val_ultralight,val_ga_single,val_jet,val_electric
"_blad/0/_geo_xyz/1,1,2",FLIGHT,,False,4,4,,-0.059602559,-0.080152407,-0.001833333,-0.363206625
"_blad/0/_geo_xyz/1,10,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000036,0.651538074
"_blad/0/_geo_xyz/1,10,1",FLIGHT,,False,4,4,,0.020177305,-0.019454859,-0.000416667,0.123296462
"_blad/0/_geo_xyz/1,10,2",FLIGHT,,False,4,4,,-0.064780869,-0.013622442,0.000000000,0.011491677
"_blad/0/_geo_xyz/1,11,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000029,0.651538074
"_blad/0/_geo_xyz/1,11,1",FLIGHT,,False,4,4,,-0.023759920,0.025303438,-0.000333333,0.020450190
"_blad/0/_geo_xyz/1,11,2",FLIGHT,,False,4,4,,-0.086112887,-0.069262534,-0.001250000,-0.319635928
"_blad/0/_geo_xyz/1,12,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000015,0.651538074
"_blad/0/_geo_xyz/1,12,1",FLIGHT,,False,4,4,,-0.050725903,0.052156799,-0.000166667,-0.051457077
"_blad/0/_geo_xyz/1,12,2",FLIGHT,,False,4,4,,-0.088160545,-0.091050357,-0.001833333,-0.416664481
"_blad/0/_geo_xyz/1,13,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.010000000,0.651538074
"_blad/0/_geo_xyz/1,13,1",FLIGHT,,False,4,4,,-0.066248380,0.068112209,0.000000000,-0.104450114
"_blad/0/_geo_xyz/1,13,2",FLIGHT,,False,4,4,,-0.079460077,-0.097274296,-0.002083333,-0.435065985
"_blad/0/_geo_xyz/1,14,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,14,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,14,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,15,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,15,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,15,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,16,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,16,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,16,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,17,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,17,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,17,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/1,2,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.009999971,0.651538074
"_blad/0/_geo_xyz/1,2,1",FLIGHT,,False,4,4,,-0.049205352,0.056431212,0.000333333,-0.249864191
"_blad/0/_geo_xyz/1,2,2",FLIGHT,,False,4,4,,-0.035200346,-0.047466625,-0.001250000,-0.198899969
"_blad/0/_geo_xyz/1,3,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.009999963,0.651538074
"_blad/0/_geo_xyz/1,3,1",FLIGHT,,False,4,4,,-0.011795194,0.019454859,0.000416667,-0.225495309
"_blad/0/_geo_xyz/1,3,2",FLIGHT,,False,4,4,,-0.011022449,0.013622442,0.000000000,0.082812704
"_blad/0/_geo_xyz/1,4,0",FLIGHT,,False,4,4,,0.250000000,0.329999983,0.009999963,0.651538074
